video_id,cohort_id,views_6h,likes_6h,comments_6h,views_24h,likes_24h,comments_24h,views_log,likes_log,comments_log,viral_score,viral
HZHchMlBFxk,cohort2,30589,4377,56,78379,8433,90,11.269324071753624,9.040026434306505,4.51085950651685,9.92468832399581,1
WsERYs4K_eI,cohort2,4253,159,10,15245,553,22,9.632072452548218,6.317164686747284,3.1354942159291497,7.987942299146031,0
czoj2EZaK50,cohort2,3840,618,11,11494,1628,18,9.34966743719728,7.395721608602045,2.9444389791664403,8.122960842815624,1
aZHON20BuD0,cohort2,6871,228,2,17138,352,2,9.749111847392571,5.8664680569332965,1.0986122886681098,7.719268754382343,0
RKm1-7OCVPw,cohort2,12251,47,1,13328,57,1,9.49769739160402,4.060443010546419,0.6931471805599453,6.986066056182333,0
OazBqSpCEoA,cohort2,30683,214,1,174587,1137,3,12.070184191503389,7.037027614686276,1.3862943611198906,9.491848235419903,1
iHQ-auaYxqw,cohort2,7097,47,0,11366,81,0,9.33846969968671,4.406719247264253,0.0,6.9250975939913015,0
0P8jQM_RSbg,cohort2,2316,44,4,7643,120,6,8.941676305360163,4.795790545596741,1.9459101490553128,6.99833396180065,0
O1Rm0Npcxhc,cohort2,4667,52,6,10680,128,23,9.276221741089696,4.859812404361672,3.1780538303479458,7.341482148997114,0
7P9VVuUgkmw,cohort2,2907,93,0,9763,262,0,9.186457431512853,5.572154032177765,0.0,7.183520668561041,0
mteZU7yoafE,cohort2,4338,7,0,4629,8,0,8.440312147080279,2.19722457733622,0.0,5.723354661449033,0
I2wYnsHQ0Xs,cohort2,9767,254,0,14614,399,1,9.589803677545346,5.991464547107982,0.6931471805599453,7.6206362887155965,0
oNyPIpZFaak,cohort2,6357,181,1,40133,755,9,10.599979134346462,6.628041376179533,2.302585092994046,8.578658402761143,1
aWkJ1mCj2cc,cohort2,3311,32,0,5871,163,0,8.677950570294351,5.099866427824199,0.0,6.73673027052387,0
XJ8b6MerRdc,cohort2,3387,124,34,5594,201,49,8.629628620746026,5.308267697401205,3.912023005428146,7.161459782210791,0
JDRAgIl-x70,cohort2,3375,23,1,20570,128,1,9.931637595952472,4.859812404361672,0.6931471805599453,7.486240996935979,0
TAeMYuwA8EE,cohort2,4239,90,1,29232,264,1,10.283053487118604,5.579729825986222,0.6931471805599453,7.913065758123023,0
zQTbUsLIu58,cohort2,5400,24,0,9405,29,0,9.149103062504992,3.4011973816621555,0.0,6.509821052001641,0
btJXWbbnJHQ,cohort2,10984,17,0,24013,31,2,10.086392272590665,3.4657359027997265,1.0986122886681098,7.201417363261128,0
b6H12EIUmoU,cohort2,2880,19,0,3839,28,0,8.253227645581772,3.367295829986474,0.0,5.962125336345005,0
kkSA8x_bWtU,cohort2,2261,191,14,18528,589,34,9.827092351282417,6.380122536899765,3.555348061489413,8.16582697798832,1
YyNV_rDWt2E,cohort2,20100,107,0,33105,156,0,10.40746981382011,5.056245805348308,0.0,7.761355629896558,0
03jvPpySFTk,cohort2,1703,36,30,1950,48,39,7.576097340623111,3.8918202981106265,3.688879454113936,6.082092439218448,0
lgnW9R4ZnJs,cohort2,10613,229,7,14076,289,10,9.552297538827965,5.66988092298052,2.3978952727983707,7.672132327470771,0
Cm3jOxBWfGk,cohort2,5793,27,1,11135,71,2,9.3179383825742,4.276666119016055,1.0986122886681098,6.983624094116148,0
xnjfMUU0ubc,cohort2,2170,22,0,3086,46,0,8.034955024502159,3.8501476017100575,0.0,5.976017295214312,0
ZzbdOPmfYYI,cohort2,100624,5706,12,284667,13232,29,12.559078867932378,9.49046898877305,3.4011973816621555,10.722707755557558,1
ic2qcpuoBCs,cohort2,5377,70,4,8171,104,5,9.008468955937513,4.653960350157523,1.791759469228055,6.98044542553257,0
vLQkW84t-OA,cohort2,3689,11,0,12255,38,0,9.413770891980372,3.6635616461296463,0.0,6.747331029027117,0
x7vQUhOiduA,cohort2,2639,0,0,5384,0,0,8.591372589590488,0.0,0.0,5.154823553754293,0
i7JPPJZj9JI,cohort2,3965,153,1,11261,235,2,9.329189505814565,5.4638318050256105,1.0986122886681098,7.346524473863233,0
kdYiDfHjENU,cohort2,8972,54,0,19974,149,0,9.902236770634476,5.010635294096256,0.0,7.444532650609562,0
-TjsD7VQLYg,cohort2,5126,0,6,6787,0,6,8.822911626354117,0.0,1.9459101490553128,5.4883379907180005,0
PNi3GBdkUcs,cohort2,2721,37,1,6415,72,2,8.766550149546351,4.290459441148391,1.0986122886681098,6.656929150939139,0
YBZ9d7_CmHQ,cohort2,2432,6,0,3692,11,0,8.214194414852564,2.4849066497880004,0.0,5.673988643847938,0
PJ1l1O8s9Rk,cohort2,1722,50,0,1914,57,0,7.557472901614746,4.060443010546419,0.0,5.7526166441327735,0
GjFwFfQGHVE,cohort2,2886,12,0,3823,16,0,8.249052274171293,2.833213344056216,0.0,5.79939536771964,0
GkhDx9sHTkY,cohort2,2943,27,0,2953,27,0,7.990915463091325,3.332204510175204,0.0,5.794210630907355,0
HdA-m8pxgUE,cohort2,1995,0,1,3718,0,1,8.22121009392507,0.0,0.6931471805599453,5.002040774411036,0
vp8Dl8jLtpQ,cohort2,5022,81,1,31737,198,2,10.365269980122788,5.293304824724492,1.0986122886681098,7.917014664357831,0
KuWDY_q0cl4,cohort2,23431,146,2,28897,160,2,10.271527667553556,5.081404364984463,1.0986122886681098,7.797199138894284,0
JYLiA6eYotI,cohort2,2710,16,0,3735,16,0,8.225770799348734,2.833213344056216,0.0,5.785426482826105,0
G1DI7TH3ORQ,cohort2,1814,0,0,15175,270,0,9.62747051161485,5.602118820879701,0.0,7.457117953232821,0
GYtLVLAjkNI,cohort2,2210,17,0,8285,67,0,9.022322622637349,4.219507705176107,0.0,6.679245885135241,0
z16TsgBLLuI,cohort2,2317,11,0,2827,11,0,7.947325027016463,2.4849066497880004,0.0,5.513867011146278,0
zkjcNg-K7aE,cohort2,4492,8,0,4576,9,0,8.428799040653642,2.302585092994046,0.0,5.748054952290398,0
wG0JaQdQRR0,cohort2,3744,23,0,8686,41,0,9.06958293425992,3.737669618283368,0.0,6.563050646040962,0
s8Vt0NbGg_s,cohort2,2600,160,6,7391,337,10,8.90815361332152,5.823045895483019,2.3978952727983707,7.331595463917654,0
d4gYEInVPdo,cohort2,1642,14,0,1649,14,0,7.408530566894626,2.70805020110221,0.0,5.257533400467438,0
